iter	Passed	Remaining
859	94275	15347
860	94372	15235
861	94482	15125
862	94593	15016
863	94704	14907
864	94811	14797
865	94924	14688
866	95039	14579
867	95151	14469
868	95263	14360
869	95366	14250
870	95478	14140
871	95592	14031
872	95694	13921
873	95803	13811
874	95911	13701
875	96006	13589
876	96115	13480
877	96212	13368
878	96325	13259
879	96425	13148
880	96539	13039
881	96638	12928
882	96752	12820
883	96870	12711
884	96985	12602
885	97096	12493
886	97195	12382
887	97292	12271
888	97403	12161
889	97521	12053
890	97626	11943
891	97728	11832
892	97843	11723
893	97957	11614
894	98072	11505
895	98188	11396
896	98296	11287
897	98413	11178
898	98529	11069
899	98628	10958
900	98748	10850
901	98847	10739
902	98954	10629
903	99055	10519
904	99165	10409
905	99267	10299
906	99372	10189
907	99471	10078
908	99587	9969
909	99688	9859
910	99800	9749
911	99910	9640
912	100014	9530
913	100127	9421
914	100240	9311
915	100337	9201
916	100448	9091
917	100549	8981
918	100650	8871
919	100762	8761
920	100861	8651
921	100962	8541
922	101078	8432
923	101186	8322
924	101297	8213
925	101408	8103
926	101523	7994
927	101627	7884
928	101732	7775
929	101838	7665
930	101948	7555
931	102060	7446
932	102176	7337
933	102285	7227
934	102390	7118
935	102488	7007
936	102603	6898
937	102713	6789
938	102812	6678
939	102912	6568
940	103025	6459
941	103135	6350
942	103250	6241
943	103364	6131
944	103467	6021
945	103565	5911
946	103681	5802
947	103800	5693
948	103915	5584
949	104027	5475
950	104141	5365
951	104250	5256
952	104350	5146
953	104465	5037
954	104570	4927
955	104684	4818
956	104789	4708
957	104888	4598
958	104993	4488
959	105106	4379
960	105210	4269
961	105323	4160
962	105427	4050
963	105541	3941
964	105654	3832
965	105768	3722
966	105863	3612
967	105976	3503
968	106085	3393
969	106181	3283
970	106291	3174
971	106401	3065
972	106502	2955
973	106614	2845
974	106720	2736
975	106825	2626
976	106934	2517
977	107029	2407
978	107143	2298
979	107256	2188
980	107367	2079
981	107478	1970
982	107590	1860
983	107693	1751
984	107805	1641
985	107916	1532
986	108011	1422
987	108126	1313
988	108236	1203
989	108337	1094
990	108448	984
991	108562	875
992	108676	766
993	108790	656
994	108902	547
995	108999	437
996	109109	328
997	109221	218
998	109322	109
999	109437	0
